film_name,term_str,n
castle_in_the_sky,10,3
castle_in_the_sky,2,1
castle_in_the_sky,3,1
castle_in_the_sky,40,2
castle_in_the_sky,50,1
castle_in_the_sky,700,2
castle_in_the_sky,98,1
castle_in_the_sky,a,117
castle_in_the_sky,able,2
castle_in_the_sky,about,11
castle_in_the_sky,above,1
castle_in_the_sky,absolutely,2
castle_in_the_sky,act,1
castle_in_the_sky,action,1
castle_in_the_sky,addressed,1
castle_in_the_sky,advanced,1
castle_in_the_sky,afraid,2
castle_in_the_sky,afresh,1
castle_in_the_sky,after,9
castle_in_the_sky,again,5
castle_in_the_sky,age,1
castle_in_the_sky,agents,1
castle_in_the_sky,ago,2
castle_in_the_sky,ah,29
castle_in_the_sky,ahead,1
castle_in_the_sky,air,3
castle_in_the_sky,airship,4
castle_in_the_sky,alive,3
castle_in_the_sky,all,25
castle_in_the_sky,almost,1
castle_in_the_sky,alone,5
castle_in_the_sky,along,1
castle_in_the_sky,already,2
castle_in_the_sky,also,1
castle_in_the_sky,although,2
castle_in_the_sky,always,5
castle_in_the_sky,am,1
castle_in_the_sky,amazed,1
castle_in_the_sky,amazing,9
castle_in_the_sky,an,23
castle_in_the_sky,ancient,1
castle_in_the_sky,and,58
castle_in_the_sky,angel,1
castle_in_the_sky,anger,1
castle_in_the_sky,answer,1
castle_in_the_sky,any,10
castle_in_the_sky,anyone,1
castle_in_the_sky,anything,4
castle_in_the_sky,anywhere,2
castle_in_the_sky,appearance,1
castle_in_the_sky,apple,1
castle_in_the_sky,apprentice,1
castle_in_the_sky,approached,1
castle_in_the_sky,are,41
castle_in_the_sky,ariaroth,5
castle_in_the_sky,armored,1
castle_in_the_sky,army,5
castle_in_the_sky,around,2
castle_in_the_sky,arrival,1
castle_in_the_sky,arrows,1
castle_in_the_sky,as,14
castle_in_the_sky,ashes,1
castle_in_the_sky,ask,1
castle_in_the_sky,asses,1
castle_in_the_sky,assistant,1
castle_in_the_sky,at,20
castle_in_the_sky,atlantis,1
castle_in_the_sky,attack,1
castle_in_the_sky,attacked,1
castle_in_the_sky,auntie,13
castle_in_the_sky,automobile,1
castle_in_the_sky,aw,2
castle_in_the_sky,awakened,1
castle_in_the_sky,away,8
castle_in_the_sky,awful,1
castle_in_the_sky,awfully,1
castle_in_the_sky,baby,1
castle_in_the_sky,back,16
castle_in_the_sky,bad,5
castle_in_the_sky,bag,2
castle_in_the_sky,bal,5
castle_in_the_sky,balse,1
castle_in_the_sky,barometer,1
castle_in_the_sky,be,48
castle_in_the_sky,beaten,1
castle_in_the_sky,beats,2
castle_in_the_sky,because,7
castle_in_the_sky,become,4
castle_in_the_sky,been,12
castle_in_the_sky,before,3
castle_in_the_sky,beg,2
castle_in_the_sky,beginning,1
castle_in_the_sky,behave,1
castle_in_the_sky,behind,2
castle_in_the_sky,being,6
castle_in_the_sky,believe,1
castle_in_the_sky,believed,2
castle_in_the_sky,below,3
castle_in_the_sky,belt,1
castle_in_the_sky,besides,2
castle_in_the_sky,best,1
castle_in_the_sky,beyond,4
castle_in_the_sky,big,1
castle_in_the_sky,birds,2
castle_in_the_sky,bit,1
castle_in_the_sky,black,1
castle_in_the_sky,blasting,1
castle_in_the_sky,blind,1
castle_in_the_sky,blocked,1
castle_in_the_sky,blow,1
castle_in_the_sky,blowing,1
castle_in_the_sky,board,1
castle_in_the_sky,body,2
castle_in_the_sky,boiled,1
castle_in_the_sky,boiler,1
castle_in_the_sky,bomb,1
castle_in_the_sky,bombs,1
castle_in_the_sky,born,1
castle_in_the_sky,borrow,1
castle_in_the_sky,boss,8
castle_in_the_sky,both,2
castle_in_the_sky,bottom,2
castle_in_the_sky,bow,1
castle_in_the_sky,boy,2
castle_in_the_sky,brag,1
castle_in_the_sky,braids,1
castle_in_the_sky,brake,1
castle_in_the_sky,brat,4
castle_in_the_sky,brave,1
castle_in_the_sky,break,3
castle_in_the_sky,bridge,2
castle_in_the_sky,bring,2
castle_in_the_sky,broke,1
castle_in_the_sky,broken,3
castle_in_the_sky,brother,4
castle_in_the_sky,build,1
castle_in_the_sky,buildings,1
castle_in_the_sky,burn,1
castle_in_the_sky,business,2
castle_in_the_sky,busy,1
castle_in_the_sky,but,28
castle_in_the_sky,by,9
castle_in_the_sky,bye,2
castle_in_the_sky,ca,17
castle_in_the_sky,calculator,1
castle_in_the_sky,call,3
castle_in_the_sky,calm,2
castle_in_the_sky,came,5
castle_in_the_sky,can,16
castle_in_the_sky,cannon,1
castle_in_the_sky,canvas,2
castle_in_the_sky,captain,7
castle_in_the_sky,care,5
castle_in_the_sky,careful,3
castle_in_the_sky,careless,1
castle_in_the_sky,caring,1
castle_in_the_sky,carry,1
castle_in_the_sky,case,1
castle_in_the_sky,castle,4
castle_in_the_sky,catch,1
castle_in_the_sky,caught,2
castle_in_the_sky,cave,1
castle_in_the_sky,celebrate,1
castle_in_the_sky,center,3
castle_in_the_sky,ceramic,1
castle_in_the_sky,certainly,3
castle_in_the_sky,chance,1
castle_in_the_sky,change,1
castle_in_the_sky,changed,1
castle_in_the_sky,charles,1
castle_in_the_sky,chased,2
castle_in_the_sky,chasing,1
castle_in_the_sky,check,1
castle_in_the_sky,checkmate,1
castle_in_the_sky,children,2
castle_in_the_sky,chomp,1
castle_in_the_sky,circuits,1
castle_in_the_sky,city,3
castle_in_the_sky,clan,5
castle_in_the_sky,cleared,1
castle_in_the_sky,climb,1
castle_in_the_sky,clockwise,1
castle_in_the_sky,close,1
castle_in_the_sky,closely,2
castle_in_the_sky,closer,2
castle_in_the_sky,clothes,1
castle_in_the_sky,clouds,9
