term_str,PC0,PC1,PC2,PC3,PC4
0,-6.93301349767188e-06,-1.1269013116782276e-05,-1.5676778919018332e-05,-5.395581578951997e-06,4.849045299840071e-07
05,-6.933013497572037e-06,-1.1269013116876463e-05,-1.567677891904554e-05,-5.3955815789200475e-06,4.849045299675309e-07
1,-0.000144151611084737,-0.0002476446954187949,-0.0003819548642404309,-0.00025056372819041734,-0.0006075030627143062
10,-2.5169697509590616e-05,-4.323028833288951e-05,-7.252507977384533e-05,0.00014819068674503722,1.1863300163122307e-05
100,-1.229721965839573e-05,-2.076668057927491e-05,-2.4454801150723036e-05,-1.9398356310179234e-05,2.298898034325679e-06
1000,-8.713483589115476e-06,-1.5247693252751207e-05,-2.2730097135691534e-05,-1.9120726715333526e-05,-2.5614551140802707e-05
1000000,-4.115492097236714e-06,-7.376959731795118e-06,-9.643738266168548e-06,-1.1965423326100114e-05,4.3574070020586475e-06
105,-4.1154920972399825e-06,-7.376959731790578e-06,-9.643738266162805e-06,-1.1965423326096155e-05,4.357407002052949e-06
12,-8.146620737473695e-06,-1.3748616749659057e-05,-1.8670095119597954e-05,-1.2801145038959763e-05,3.57048065963107e-06
120,-7.928414555534754e-06,-1.3576932814093995e-05,-1.739633779320888e-05,-1.52988754001363e-05,7.386564149674223e-07
123,-6.14860982920582e-06,-1.0383340289626577e-05,-1.222740057534498e-05,-9.69917815506875e-06,1.1494490171700747e-06
13,-2.0274470002966355e-05,-3.520683256013807e-05,-3.844812002846431e-05,-3.24199164654509e-05,7.209472943116954e-08
133,-7.928414555513924e-06,-1.3576932814122906e-05,-1.7396337793252395e-05,-1.5298875400170394e-05,7.386564148944237e-07
13yearold,-6.7581566676507335e-06,-1.1735610853383372e-05,-1.2816040009494569e-05,-1.0806638821822074e-05,2.4031576465851683e-08
14,-6.9330134975671975e-06,-1.1269013116883966e-05,-1.567677891901671e-05,-5.395581578946012e-06,4.849045299738709e-07
145,-7.928414555518232e-06,-1.3576932814116903e-05,-1.7396337793243522e-05,-1.5298875400163303e-05,7.386564149070605e-07
15,-2.5302442100444557e-05,-4.223415242295402e-05,-5.357766679514082e-05,-2.787186407785617e-05,1.1080731300783209e-06
150,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
15th,-2.622125992617572e-05,-4.795520094007201e-05,-7.569141853643307e-05,-0.00011782619693976245,-0.00020461718048268393
16,-1.1991314478701353e-05,-1.919711303963796e-05,-2.8112479443666467e-05,-3.0208678337732173e-05,7.956372495115524e-06
17,-1.3866026995135632e-05,-2.253802623376994e-05,-3.1353557838036204e-05,-1.0791163157892958e-05,9.698090599478194e-07
1910,-6.9330134975671975e-06,-1.1269013116883966e-05,-1.567677891901671e-05,-5.395581578946012e-06,4.849045299738709e-07
1927,-6.9330134975671975e-06,-1.1269013116883966e-05,-1.567677891901671e-05,-5.395581578946012e-06,4.849045299738709e-07
