term_str,n,p,i,n_chars,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,df,idf,dfidf
0,1,1.041710071252969e-05,16.5506866718375,1,CD,x,1,{'x'},1,{'CD'},False,0,0,0,1,3.807354922057604,0.2719539230041146
05,1,1.041710071252969e-05,16.5506866718375,2,CD,x,1,{'x'},1,{'CD'},False,05,05,05,1,3.807354922057604,0.2719539230041146
1,41,0.0004271011292137,11.193134667219416,1,CD,x,1,{'x'},1,{'CD'},False,1,1,1,4,1.8073549220576042,0.5163871205878868
10,8,8.333680570023751e-05,13.550686671837498,2,CD,x,1,{'x'},1,{'CD'},False,10,10,10,5,1.4854268271702418,0.5305095811322292
100,2,2.083420142505938e-05,15.550686671837498,3,CD,x,1,{'x'},1,{'CD'},False,100,100,100,1,3.807354922057604,0.2719539230041146
1000,2,2.083420142505938e-05,15.550686671837498,4,CD,x,1,{'x'},1,{'CD'},False,1000,1000,1000,2,2.807354922057604,0.40105070315108626
1000000,1,1.041710071252969e-05,16.5506866718375,7,CD,x,1,{'x'},1,{'CD'},False,1000000,1000000,1000000,1,3.807354922057604,0.2719539230041146
105,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,105,105,105,1,3.807354922057604,0.2719539230041146
12,2,2.083420142505938e-05,15.550686671837498,2,CD,x,1,{'x'},1,{'CD'},False,12,12,12,2,2.807354922057604,0.40105070315108626
120,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,120,120,120,1,3.807354922057604,0.2719539230041146
123,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,123,123,123,1,3.807354922057604,0.2719539230041146
13,3,3.1251302137589066e-05,14.965724171116342,2,CD,x,1,{'x'},1,{'CD'},False,13,13,13,1,3.807354922057604,0.2719539230041146
133,1,1.041710071252969e-05,16.5506866718375,3,CD,x,1,{'x'},1,{'CD'},False,133,133,133,1,3.807354922057604,0.2719539230041146
