term_str,n,p,i,n_chars,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,df,idf,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
abandon,3,3.1251302137589066e-05,14.965724171116342,7,VB,v,2,"{'n', 'v'}",2,"{'VB', 'NNS'}",False,abandon,abandon,abandon,3,2.222392421336448,0.4762269474292389,0,0,0,1,0,1,0,1,0,0,-1
abandoned,4,4.166840285011876e-05,14.550686671837498,9,VBN,v,2,"{'j', 'v'}",3,"{'JJ', 'VBN', 'VBD'}",False,abandon,abandon,abandon,2,2.807354922057604,0.4010507031510862,1,0,0,1,0,1,0,1,0,0,-1
abolish,1,1.041710071252969e-05,16.5506866718375,7,VB,v,1,{'v'},1,{'VB'},False,abolish,abolish,abol,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
absence,2,2.083420142505938e-05,15.550686671837498,7,NN,n,1,{'n'},1,{'NN'},False,absenc,absenc,abs,2,2.807354922057604,0.4010507031510862,0,0,0,1,0,1,0,1,0,0,-1
accident,5,5.208550356264844e-05,14.228758576950137,8,NN,n,2,"{'j', 'n'}",2,"{'JJ', 'NN'}",False,accid,accid,accid,2,2.807354922057604,0.4010507031510862,0,0,0,1,0,1,0,1,1,0,-1
accomplish,1,1.041710071252969e-05,16.5506866718375,10,VB,v,1,{'v'},1,{'VB'},False,accomplish,accomplish,accompl,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,0,0,1
accomplished,1,1.041710071252969e-05,16.5506866718375,12,VBN,v,1,{'v'},1,{'VBN'},False,accomplish,accomplish,accompl,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,0,0,1
accord,1,1.041710071252969e-05,16.5506866718375,6,NN,n,1,{'n'},1,{'NN'},False,accord,accord,accord,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
accurate,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,accur,accur,acc,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
achieve,2,2.083420142505938e-05,15.550686671837498,7,VB,v,1,{'v'},1,{'VB'},False,achiev,achiev,achiev,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,0,1,1
aching,1,1.041710071252969e-05,16.5506866718375,6,VBG,v,1,{'v'},1,{'VBG'},False,ach,ach,ach,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,1,0,1,0,0,-1
addresses,1,1.041710071252969e-05,16.5506866718375,9,NNS,n,1,{'n'},1,{'NNS'},False,address,address,address,1,3.807354922057604,0.2719539230041146,0,1,0,0,0,0,1,0,0,0,1
admirable,2,2.083420142505938e-05,15.550686671837498,9,JJ,j,1,{'j'},1,{'JJ'},False,admir,admir,admir,2,2.807354922057604,0.4010507031510862,0,0,0,0,1,0,1,0,0,1,1
admiration,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,admir,admir,admir,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,0,1,1
admonition,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,admonit,admonit,admonit,1,3.807354922057604,0.2719539230041146,0,0,0,1,0,1,0,0,0,0,-1
adorable,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,ador,ador,ad,1,3.807354922057604,0.2719539230041146,0,0,0,0,1,0,1,0,0,0,1
adore,2,2.083420142505938e-05,15.550686671837498,5,RB,r,2,"{'r', 'v'}",2,"{'VBP', 'RB'}",False,ador,ador,ad,2,2.807354922057604,0.4010507031510862,0,1,0,0,1,0,1,0,0,1,1
advance,1,1.041710071252969e-05,16.5506866718375,7,VBP,v,1,{'v'},1,{'VBP'},False,advanc,advanc,adv,1,3.807354922057604,0.2719539230041146,0,1,0,1,1,0,1,0,1,0,1
adventure,3,3.1251302137589066e-05,14.965724171116342,9,NN,n,1,{'n'},1,{'NN'},False,adventur,adventur,adv,3,2.222392421336448,0.4762269474292389,0,1,0,0,0,0,1,0,0,0,1
advise,1,1.041710071252969e-05,16.5506866718375,6,VBP,v,1,{'v'},1,{'VBP'},False,advis,advis,adv,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
afraid,34,0.000354181424226,11.46322383058716,6,JJ,j,4,"{'j', 'v', 'x', 'n'}",5,"{'NN', 'IN', 'JJ', 'VBN', 'VBD'}",False,afraid,afraid,afraid,9,0.6374299206152918,0.4097763775384019,0,0,0,1,0,1,0,0,0,0,-1
agitated,1,1.041710071252969e-05,16.5506866718375,8,JJ,j,1,{'j'},1,{'JJ'},False,agit,agit,agit,1,3.807354922057604,0.2719539230041146,1,0,0,0,0,1,0,0,0,0,-1
agreed,5,5.208550356264844e-05,14.228758576950137,6,VBD,v,2,"{'x', 'v'}",3,"{'VBN', 'VBD', 'UH'}",False,agre,agre,agree,4,1.807354922057604,0.5163871205878868,0,0,0,0,0,0,1,0,0,1,1
agreement,2,2.083420142505938e-05,15.550686671837498,9,NN,n,1,{'n'},1,{'NN'},False,agreement,agreement,agr,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
airs,2,2.083420142505938e-05,15.550686671837498,4,NNS,n,1,{'n'},1,{'NNS'},False,air,air,air,2,2.807354922057604,0.4010507031510862,0,0,1,0,0,1,0,0,0,0,-1
alive,31,0.0003229301220884,11.596490361450623,5,JJ,j,3,"{'j', 'n', 'v'}",4,"{'JJ', 'NN', 'VB', 'NNP'}",False,aliv,aliv,al,8,0.8073549220576041,0.4613456697472023,0,1,0,0,1,0,1,0,0,1,1
allied,1,1.041710071252969e-05,16.5506866718375,6,VBD,v,1,{'v'},1,{'VBD'},False,alli,alli,al,1,3.807354922057604,0.2719539230041146,0,0,0,0,0,0,1,0,0,1,1
amazingly,2,2.083420142505938e-05,15.550686671837498,9,RB,r,1,{'r'},1,{'RB'},False,amazingli,amaz,amaz,2,2.807354922057604,0.4010507031510862,0,0,0,0,1,0,1,0,1,0,1
ambition,1,1.041710071252969e-05,16.5506866718375,8,NN,n,1,{'n'},1,{'NN'},False,ambit,ambit,ambit,1,3.807354922057604,0.2719539230041146,0,1,0,0,1,0,1,0,0,1,1
amen,2,2.083420142505938e-05,15.550686671837498,4,NNS,n,1,{'n'},1,{'NNS'},False,amen,amen,am,2,2.807354922057604,0.4010507031510862,0,0,0,0,1,0,1,0,0,1,1
angel,2,2.083420142505938e-05,15.550686671837498,5,NN,n,1,{'n'},1,{'NN'},False,angel,angel,angel,2,2.807354922057604,0.4010507031510862,0,1,0,0,1,0,1,0,1,1,1
anger,15,0.0001562565106879,12.64379607622898,5,NN,n,2,"{'v', 'n'}",2,"{'VB', 'NN'}",False,anger,anger,ang,4,1.807354922057604,0.5163871205878868,1,0,0,0,0,1,0,0,0,0,-1
angry,16,0.0001666736114004,12.550686671837498,5,JJ,j,1,{'j'},1,{'JJ'},False,angri,angri,angry,8,0.8073549220576041,0.4613456697472023,1,0,1,0,0,1,0,0,0,0,-1
annihilate,1,1.041710071252969e-05,16.5506866718375,10,NN,n,1,{'n'},1,{'NN'},False,annihil,annihil,annihil,1,3.807354922057604,0.2719539230041146,1,0,0,1,0,1,0,0,0,0,-1
