term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
the,-0.1469774,0.025323322,-0.015878394,0.15439199,-0.30491987,0.3448243,-0.08391094,0.24385716,-0.20670697,-0.10108862,0.06633489,-0.06734618,0.15854877,0.29617465,-0.084097624,0.2584735,0.08084499,-0.21039528,0.05218085,0.16492862,0.118896686,-0.25954902,-0.14813647,0.38993278,0.20512898,0.10077964,0.033737786,0.08131327,-0.1119454,-0.12550059,-0.0064352755,-0.4600801,-0.24711238,0.0147387395,0.0786515,-0.11812542,0.20416117,-0.06570087,0.03927675,0.07507511,0.009113697,0.16798513,0.3484311,-0.12565628,-0.13250507,0.17569456,-0.04741279,0.10627723,0.0982879,0.103732124,0.08295111,-0.4159104,-0.1748173,0.13170809,0.045470137,-0.2959787,0.06428904,0.14582749,0.0407949,0.12849776,0.1481523,-0.12273561,-0.40886804,0.15244614,0.10719266,-0.11516265,0.18684694,-0.06870729,-0.24024409,-0.12618345,0.21695413,-0.34450382,-0.15302436,-0.26034614,0.051897142,-0.0074820444,0.0035911303,-0.0970314,-0.1936815,-0.030282503,-0.00014481462,0.055345748,-0.14924398,0.0068522515,-0.19516583,0.049660597,-0.24511953,-0.20305337,-2.2120912e-05,0.08096788,-0.01956856,0.3135035,0.0968668,0.09897115,0.10114802,-0.012142506,-0.0041689547,-0.0013801722,-0.07543324,-0.110034406
you,0.15915978,0.003039712,0.14199327,-0.08390352,-0.0007818217,0.1650632,0.13307932,0.10651151,-0.096537404,0.14931376,-0.19771576,-0.045039307,0.12950271,0.28582892,-0.21528833,-0.19496061,-0.09228087,-0.29529414,-0.23340778,-0.016789224,0.16030654,0.038842734,-0.13213006,0.2655871,0.32299823,0.037916455,-0.22920355,0.098121025,-0.23423505,0.069047764,0.021023707,-0.02550715,-0.22033167,0.1254264,0.13706313,0.14835136,-0.09360192,-0.17727502,-0.023483755,-0.22342049,0.12221925,-0.19278038,0.115160085,0.12563254,0.13193908,0.31311172,-0.025004253,-0.08139176,0.31411105,-0.16515097,0.02185949,-0.24726355,0.0067284694,-0.025682496,-0.05823517,-0.16996282,-0.39219454,-0.17074916,-0.04158172,0.24539864,-0.11277538,-0.20606689,-0.32967284,-0.09097211,0.18559055,0.14598736,-0.14789787,-0.15427291,0.010736602,-0.19146264,-0.2907528,-0.2246752,-0.34560317,0.08604841,0.13983138,-0.016218247,0.16252251,-0.049096517,-0.22930537,-0.19463481,0.018119806,-0.22251557,-0.071209654,0.23580721,-0.18521944,0.14452517,-0.3850407,-0.44056785,-0.24102041,0.1148958,-0.061996955,0.08759807,0.16823138,-0.2680381,0.1050663,-0.07119802,0.0721132,-0.038216513,-0.10147785,-0.09974402
i,-0.09574553,0.17313518,0.18212691,0.10125434,0.01387699,-0.005863846,0.047570184,0.24417455,-0.03721984,0.22686635,-0.25277248,0.036791105,0.26414314,0.102526866,-0.049966093,-0.35334563,0.04861735,-0.3199583,-0.15143065,0.113250606,0.12229834,0.16819091,-0.22028057,0.103626154,0.35148862,-0.13304849,-0.121614374,0.16189419,-0.116814956,-0.27266625,-0.16308126,-0.03707972,-0.20736913,0.103948504,0.08285947,0.22025709,-0.027347138,-0.14295432,-0.15949069,-0.101297215,-0.2104549,0.049019527,-0.13261637,0.28365344,0.038597148,0.16120452,0.22631034,-0.00041955346,0.2542916,-0.05140411,-0.11655729,-0.07306346,-0.10593044,-0.28355587,0.010011121,-0.33208883,-0.19114414,-0.30326417,-0.16103274,0.17474203,-0.12445096,-0.34725553,-0.48750162,0.18448891,0.06373396,0.2619991,-0.22331172,0.040868517,-0.10401962,0.0061606094,-0.1998931,-0.22883734,-0.37900648,0.17557788,0.075697705,-0.009340853,0.20538265,-0.019440293,-0.27320278,-0.51328087,-0.20465922,-0.12582065,0.045504857,0.18277107,-0.3071025,0.06225579,-0.15125431,-0.31791607,0.0027862706,0.0622154,-0.0955474,0.14304513,0.3143964,-0.41573983,0.066234775,0.02682455,0.06508217,0.048240684,-0.14449681,-0.29993716
s,-0.18274127,0.22897726,-0.11076429,0.19495142,-0.12136594,-0.12649949,-0.23262273,-0.08382163,-0.20608771,0.22327995,-0.21512733,0.030131929,-0.08221065,-0.010845354,0.021226265,-0.1923317,0.16245729,0.058054324,0.055163816,0.17504731,-0.13480112,-0.20098576,-0.117400795,0.14996044,0.40804163,-0.03299008,-0.22692105,-0.2552705,-0.21210054,0.11795323,-0.07339439,-0.034076612,-0.17504399,0.10223693,-0.21718822,0.36562723,0.3482389,-0.48754713,0.10988795,0.2980442,0.14698194,-0.02428008,0.23085624,-0.104886,0.15215507,0.0016855188,0.04025944,0.06953619,0.12732512,-0.13319658,-0.17199793,-0.34333968,0.002319883,0.11723346,0.13825196,0.294049,-0.13132098,0.16242604,-0.36693797,0.2673361,0.085039616,0.18720101,-0.3256133,-0.046009373,0.07232699,0.08187736,-0.07859735,-0.12355707,-0.12010602,0.043611534,-0.10590756,-0.17688617,-0.276171,-0.028880766,0.06913898,-0.03984532,0.0006134883,0.071024746,-0.17628786,-0.40348724,-0.25924093,0.22261022,0.16420762,-0.0383318,-0.26538318,-0.058867075,-0.26723558,-0.17755306,-0.14043927,-0.14061554,0.04059676,0.012933127,0.0683139,0.039012,0.12449284,0.28036785,-0.00096117187,-0.23553245,-0.3280345,-0.042797573
to,0.14852048,0.14469461,-0.010892928,0.14582856,-0.2540881,0.1241796,0.015814595,0.09473288,-0.08629755,-0.08385735,-0.20033327,-0.0731703,0.10444799,0.1293929,-0.32661045,-0.095375635,0.17919521,-0.22646543,-0.21674071,0.15462546,0.22636518,-0.052254736,-0.10016764,0.19763353,0.19922298,0.00042971814,-0.015133797,0.1638431,-0.30765474,-0.15543714,-0.13569002,-0.0014699257,-0.12043358,-0.048732843,0.026259197,0.07229593,0.03484857,-0.08058899,-0.076899454,0.074009284,0.051793125,-0.13748035,0.20659971,0.0823779,-0.042633332,0.1006948,0.0808831,0.14008994,0.11569594,-0.0053372453,-0.0913545,-0.23545562,-0.11771131,-0.036398783,0.07809076,-0.18427272,-0.13232498,0.009362051,-0.106623165,0.058148164,-0.062290028,-0.24614745,-0.34061956,0.103795625,-0.039881535,0.075351745,-0.121011496,0.014939773,-0.20396008,0.08342505,-0.11123828,-0.12471523,-0.15686552,0.0059373784,-0.015084367,-0.10192837,0.057585735,0.08277708,-0.2066697,-0.44561747,-0.15268178,0.116983645,-0.0468298,0.20885204,-0.23329902,0.0009962962,-0.24085638,-0.3091767,0.014975941,0.062203873,0.022576878,0.18035515,0.23738055,-0.19360651,0.007438963,0.058009617,0.03218154,0.037078746,0.06811203,-0.19311777
it,-0.2546881,0.08114057,-0.018685056,0.1498339,-0.11262295,0.055005144,-0.13683248,0.08424474,-0.17037748,0.1934841,-0.035624675,0.0633152,0.19904679,0.105826765,0.055029117,-0.219869,0.093750164,-0.20145863,-0.21131365,0.0095616495,0.03200142,-0.05133742,-0.14211877,0.16798218,0.3200312,-0.11849707,-0.06861326,-0.1235979,-0.0014608584,0.099030286,-0.07656753,-0.30511865,-0.0991064,0.039384138,-0.0057368875,0.18037236,0.030784331,-0.3412758,0.10133363,0.071527705,0.06492807,-0.045697924,0.11692083,-0.08544567,0.09722497,-0.023069752,0.084238015,-0.014414125,0.22960138,-0.030559776,-0.045051366,-0.3504399,-0.027249325,0.0010417997,0.2521508,0.017929932,0.023992727,-0.054639556,-0.08923486,0.29034093,-0.08785674,-0.23810497,-0.25708073,-0.09052567,0.14347099,0.0052391165,0.005081706,-0.09237656,0.015621891,-0.14005554,0.107889704,-0.27015257,-0.32791632,-0.17617609,0.025755174,-0.11659146,0.16200633,-0.08583839,-0.20111416,-0.21430758,-0.17541423,0.045555413,-0.11976725,-0.06219368,-0.23671517,0.12129557,-0.21778072,-0.35372248,-0.08597318,0.0702109,0.05514921,0.16351396,0.097194746,0.0028774757,-0.10813687,-0.04925651,0.14688872,-0.036866896,-0.09561264,-0.059381217
a,-0.22343938,0.03947314,0.0870972,-0.07444263,-0.004488446,0.12462955,-0.10951303,0.11252173,-0.078552745,0.24227893,0.031190064,-0.01726996,0.11691716,0.044086535,-0.0342814,-0.109786175,0.11682472,-0.1322174,-0.11985828,0.042258047,0.106486015,-0.0277414,-0.22916406,0.18884693,0.3384879,-0.0277802,-0.102155395,0.05559062,-0.12039264,-0.042484004,-0.07223944,-0.28017098,-0.04716434,0.03900727,-0.17706889,0.33973464,0.12697336,-0.30504885,0.08739169,0.06518201,-0.035687104,0.17069994,0.20267914,-0.023055168,0.021803476,0.07957045,0.060213644,0.018805342,0.27560517,0.04021316,-0.024372332,-0.29911497,-0.11189212,0.02216144,0.11244984,-0.005787995,0.016916107,-0.002334801,-0.1582008,0.19715266,-0.12507272,-0.0418119,-0.37222585,-0.051815644,0.101870246,0.12909739,-0.0618034,0.0948188,-0.08959048,-0.1313966,0.100100294,-0.243817,-0.2089265,-0.18322052,0.08026402,-0.05644838,0.11160128,-0.10487145,-0.24672052,-0.06668582,-0.23041357,-0.11014545,-0.096614674,-0.041470412,-0.3665775,-0.029286867,-0.25527704,-0.23671761,-0.16429804,0.083454445,-0.04759002,0.09749563,0.038421754,-0.021622876,0.023767205,-0.061439425,0.15311965,-0.08507548,-0.17876874,-0.13785836
that,-0.19370568,0.15058942,0.0193554,0.099893734,-0.15998559,0.13833368,-0.036509912,0.07562954,-0.10642034,0.14845239,-0.06072655,0.01571594,0.19181596,0.16324782,-0.012277789,-0.10822399,0.11143816,-0.19848694,-0.1465076,0.015921425,0.0723621,0.017053273,-0.16302817,0.21864246,0.32749772,-0.14650558,-0.0872712,-0.08026161,-0.07371143,0.04714083,0.003254755,-0.27357906,-0.049346652,0.08494482,-0.0033304552,0.21066645,0.1006744,-0.20964281,0.100632444,0.039605882,0.04065903,0.034375302,0.22850482,-0.013813839,0.052190457,0.018289292,0.0654743,0.033408925,0.23742087,0.0037174108,0.027013186,-0.3932015,-0.076725684,0.008514143,0.16039024,-0.06931962,0.008418879,0.0013298714,-0.0595216,0.21389152,-0.040237714,-0.23768362,-0.23152205,-0.06650974,0.12463924,0.035926163,0.019218277,-0.012210701,-0.06531411,-0.10364803,0.061823264,-0.21782684,-0.3629486,-0.11591202,0.098219976,-0.09198214,0.12325827,0.0103267655,-0.19957203,-0.14226547,-0.097561315,-0.01182567,-0.12869252,-0.04953536,-0.3192967,0.06706266,-0.33211413,-0.30153963,-0.09141994,0.037339017,-0.09181203,0.053499334,0.03608754,-0.032637857,-0.045581467,-0.06866618,0.16085866,-0.010948419,-0.12898466,-0.055768177
is,0.013352078,0.13563052,-0.06937773,0.21046376,-0.058794692,0.08373226,0.0040809736,0.06032265,-0.22575255,0.19001064,-0.21749789,0.018414188,-0.08315532,0.026523432,0.04901694,-0.0009588099,-0.05006267,-0.09999231,0.0019850915,0.35239744,-0.23458946,-0.20087615,-0.116790354,0.16329822,0.34825194,-0.030317899,0.08311198,-0.045399703,-0.094820224,-0.19062182,-0.06124122,-0.11612808,-0.11676083,0.06811181,-0.06962926,0.2002929,0.2988773,-0.2780822,0.15578707,0.16292696,0.10842899,-0.050016694,0.28868985,-0.16939905,0.06687843,-0.06299121,-0.041789092,-0.003189216,0.19293416,-0.14746952,0.087105766,-0.35499197,-0.015967365,0.16364622,0.11045106,0.115452655,-0.03778564,9.943235e-05,-0.19999418,0.14999047,0.10537834,0.060540035,-0.4594401,-0.019632464,0.12099132,-0.010915953,0.031933922,0.025605435,-0.03160928,-0.078295864,0.081278056,-0.17857195,-0.23444809,-0.19870014,0.17598069,-0.01414695,0.10170891,0.08848825,-0.19688892,-0.19824198,-0.13964923,0.12796067,0.043339893,-0.067880765,-0.2997234,0.00964945,-0.35097492,-0.340754,-0.14725706,-0.06140478,-0.07697695,0.13346177,0.09505216,0.14037216,0.038422126,0.1525543,0.08655929,-0.18340278,-0.31029898,-0.08878886
nt,-0.2419261,-0.030422654,-0.12683916,0.38302848,-0.13383183,0.08783537,0.0077823363,-0.06773489,-0.24444301,-0.011131692,-0.18671004,-0.047422413,0.15158959,0.4717282,-0.2363881,-0.1701701,0.0037472863,-0.082540795,-0.37679687,0.21843943,0.24390587,-0.10570685,-0.0002722695,-0.063574836,0.07827315,0.10813379,-0.11798632,-0.039941385,-0.235351,0.11650913,-0.02584839,-0.0227022,-0.21156017,0.13589711,0.008789625,0.268788,-0.31723684,-0.34635618,-0.04220174,0.09733291,0.2017384,-0.15036741,0.44670936,0.025004901,-0.025617698,-0.10516156,0.1826912,-0.08548592,0.36829224,-0.21018933,-0.2759782,-0.4711699,0.04534531,0.02556052,0.06531439,-0.16299918,-0.11615598,0.12679926,0.08285712,0.20103349,-0.19521126,-0.51838005,-0.12308096,-0.20984325,0.2125726,0.060490437,0.13366611,-0.21194232,0.26842782,-0.21411484,-0.22913678,-0.3222106,-0.37691763,0.03556042,-0.06082079,-0.22853345,-0.010996842,0.2398502,-0.39724496,-0.24307737,-0.052403502,0.08802632,0.05900031,0.08339772,-0.1590793,0.23655514,-0.33489704,-0.45280808,-0.29558325,0.12878858,0.053033993,-0.010561274,-0.06805487,-0.17029858,0.11336627,0.20164113,0.0071891844,-0.1553446,0.08631289,-0.052194376
